[16:52:20] Watching PR #30 (interval=20s, timeout=7200s)
[17:11:29] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:11:50] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:12:11] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:12:32] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:12:52] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:13:13] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:13:34] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:13:55] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:14:16] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:14:36] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:14:57] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:15:18] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:15:39] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:16:00] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:16:20] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:16:41] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:17:02] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:17:23] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:17:44] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:18:05] PR #30 status: state=OPEN mergedAt= mergeState=BLOCKED labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:18:26] PR #30 status: state=OPEN mergedAt= mergeState=UNSTABLE labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:18:47] PR #30 status: state=OPEN mergedAt= mergeState=UNSTABLE labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:19:08] PR #30 status: state=OPEN mergedAt= mergeState=UNSTABLE labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:19:29] PR #30 status: state=OPEN mergedAt= mergeState=UNSTABLE labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
[17:19:50] PR #30 status: state=OPEN mergedAt= mergeState=UNSTABLE labels=automerge-candidate,qa:ready url=https://github.com/dev-vitalii-shymko/crypto_market/pull/30
